month,state,handgun,long_gun,other,multiple,year
9,alabama,5734.0,6320.0,221.0,317,2017
9,alaska,2320.0,2930.0,219.0,160,2017
9,arizona,11063.0,7946.0,920.0,631,2017
9,arkansas,4347.0,6063.0,165.0,366,2017
9,california,37165.0,24581.0,2984.0,0,2017
9,colorado,15751.0,13448.0,1007.0,1062,2017
9,connecticut,4834.0,1993.0,274.0,0,2017
9,delaware,1414.0,1538.0,66.0,68,2017
9,florida,39199.0,17949.0,2319.0,1721,2017
9,georgia,10933.0,7982.0,315.0,494,2017
9,hawaii,0.0,0.0,0.0,0,2017
9,idaho,3058.0,5241.0,187.0,205,2017
9,illinois,18290.0,10201.0,0.0,814,2017
9,indiana,16093.0,11332.0,1123.0,597,2017
9,iowa,151.0,2640.0,27.0,1,2017
9,kansas,4518.0,5025.0,306.0,297,2017
9,kentucky,8112.0,7543.0,253.0,543,2017
9,louisiana,10495.0,11573.0,635.0,776,2017
9,maine,3026.0,4220.0,179.0,186,2017
9,maryland,3389.0,4897.0,168.0,34,2017
9,massachusetts,4749.0,2808.0,449.0,158,2017
9,michigan,8654.0,10676.0,379.0,163,2017
9,minnesota,4862.0,12677.0,346.0,273,2017
9,mississippi,6260.0,6035.0,206.0,405,2017
9,missouri,16993.0,14395.0,1050.0,991,2017
9,montana,2395.0,4878.0,140.0,216,2017
9,nebraska,110.0,1989.0,11.0,4,2017
9,nevada,3992.0,2509.0,251.0,237,2017
9,new_hampshire,4410.0,3248.0,132.0,3,2017
9,new_jersey,3985.0,3040.0,140.0,0,2017
9,new_mexico,5309.0,4508.0,353.0,284,2017
9,new_york,8392.0,16213.0,998.0,185,2017
9,north_carolina,1235.0,11340.0,657.0,233,2017
9,north_dakota,1359.0,2919.0,99.0,82,2017
9,ohio,21085.0,14998.0,1202.0,1026,2017
9,oklahoma,8869.0,9020.0,741.0,807,2017
9,oregon,11557.0,11773.0,0.0,7,2017
9,pennsylvania,39825.0,13222.0,48.0,0,2017
9,rhode_island,907.0,619.0,70.0,163,2017
9,south_carolina,7574.0,6037.0,379.0,295,2017
9,south_dakota,2020.0,4155.0,154.0,141,2017
9,tennessee,19219.0,13746.0,1042.0,0,2017
9,texas,39119.0,39416.0,2768.0,2473,2017
9,utah,2840.0,3960.0,212.0,0,2017
9,vermont,1276.0,1591.0,90.0,80,2017
9,virginia,19676.0,15075.0,1100.0,0,2017
9,washington,13292.0,11548.0,1623.0,587,2017
9,west_virginia,5204.0,6161.0,216.0,387,2017
9,wisconsin,10918.0,13133.0,612.0,43,2017
9,wyoming,1337.0,2015.0,61.0,97,2017
8,alabama,6289.0,6045.0,216.0,311,2017
8,alaska,2656.0,3097.0,207.0,184,2017
8,arizona,10864.0,7686.0,908.0,627,2017
8,arkansas,4827.0,5297.0,220.0,323,2017
8,california,41110.0,26220.0,3058.0,0,2017
8,colorado,16610.0,12925.0,1013.0,1035,2017
8,connecticut,5289.0,1988.0,290.0,0,2017
8,delaware,1571.0,1349.0,94.0,58,2017
8,florida,46682.0,21717.0,2847.0,2048,2017
8,georgia,11719.0,7797.0,377.0,525,2017
8,hawaii,0.0,0.0,0.0,0,2017
8,idaho,3216.0,3966.0,186.0,205,2017
8,illinois,19807.0,11333.0,0.0,779,2017
8,indiana,17271.0,11844.0,1132.0,698,2017
8,iowa,134.0,2002.0,21.0,3,2017
8,kansas,5005.0,4743.0,330.0,330,2017
8,kentucky,8039.0,6555.0,244.0,459,2017
8,louisiana,10124.0,8788.0,632.0,631,2017
8,maine,3019.0,2965.0,196.0,163,2017
8,maryland,3657.0,4807.0,153.0,27,2017
8,massachusetts,4713.0,2507.0,457.0,171,2017
8,michigan,9849.0,9962.0,415.0,249,2017
8,minnesota,5446.0,11294.0,418.0,315,2017
8,mississippi,9059.0,7738.0,251.0,565,2017
8,missouri,17369.0,13918.0,1227.0,1027,2017
8,montana,2597.0,4034.0,128.0,221,2017
8,nebraska,109.0,1667.0,16.0,7,2017
8,nevada,4052.0,2251.0,229.0,241,2017
8,new_hampshire,4164.0,2885.0,121.0,3,2017
8,new_jersey,4238.0,3038.0,167.0,0,2017
8,new_mexico,5000.0,3734.0,396.0,331,2017
8,new_york,9159.0,13239.0,891.0,158,2017
8,north_carolina,1194.0,11949.0,649.0,196,2017
8,north_dakota,1500.0,2567.0,92.0,65,2017
8,ohio,21432.0,14447.0,1242.0,1034,2017
